#section	x1	y1	z1	apl1	x2	y2	z2	apl2	x3	y3	z3	apl3
190	46.524738	46.524738	131.497797	67.642226	46.775151	46.775151	129.842813	68.372337	46.760204	46.760204	130.086645	68.328646
191	46.422818	46.422818	131.873304	67.346189	46.836322	46.836322	129.791729	68.551283	46.088105	46.088105	134.588590	66.378546
192	47.016554	47.016554	129.149002	69.079885	46.725228	46.725228	130.520485	68.226466	45.850265	45.850265	136.100822	65.695211
193	46.396493	46.396493	131.654887	67.269829	45.288943	45.288943	138.409785	64.096511	46.995104	46.995104	129.022257	69.016868
194	45.464845	45.464845	136.842056	64.595380	45.694257	45.694257	135.636820	65.248911	46.424576	46.424576	131.484223	67.351288
195	46.058083	46.058083	134.090226	66.292094	44.798993	44.798993	141.645767	62.717181	46.407936	46.407936	132.057898	67.303016
196	45.886716	45.886716	134.873490	65.799710	45.537862	45.537862	137.017524	64.803028	46.776021	46.776021	130.533708	68.374879
197	45.641063	45.641063	136.780274	65.097082	45.724199	45.724199	135.565945	65.334449	46.536904	46.536904	131.325418	67.677608
198	47.545104	47.545104	125.376322	70.641779	47.060747	47.060747	128.484955	69.209808	46.919263	46.919263	129.389515	68.794290
199	46.887171	46.887171	129.024986	68.700212	47.497812	47.497812	126.533218	70.501317	46.868598	46.868598	129.123944	68.645795
200	46.367132	46.367132	132.675358	67.184716	46.365228	46.365228	132.003241	67.179199	46.324961	46.324961	132.475323	67.062564
201	46.242680	46.242680	133.204606	66.824546	46.934114	46.934114	129.349645	68.837846	46.522196	46.522196	131.809592	67.634836
202	46.486801	46.486801	131.777864	67.531959	45.356010	45.356010	137.614049	64.286488	46.860860	46.860860	129.572383	68.623132
203	46.468940	46.468940	132.047276	67.480074	45.550205	45.550205	137.085979	64.838162	45.940552	45.940552	134.510838	65.954198
204	46.889236	46.889236	129.135517	68.706265	46.140419	46.140419	134.172294	66.529321	45.888999	45.888999	135.301966	65.806258
205	46.221082	46.221082	133.127355	66.762138	46.975220	46.975220	129.248057	68.958479	46.886007	46.886007	129.776039	68.696800
206	47.123408	47.123408	128.733602	69.394236	46.692528	46.692528	130.364287	68.131005	46.246592	46.246592	132.914505	66.835852
207	46.917231	46.917231	129.255774	68.788331	46.355725	46.355725	132.038386	67.151663	46.012466	46.012466	133.772173	66.160845
208	46.385470	46.385470	131.891456	67.237869	46.366739	46.366739	133.029572	67.183578	45.874395	45.874395	134.345563	65.764380
209	45.932099	45.932099	135.333483	65.929928	45.604989	45.604989	136.422952	64.994221	45.276172	45.276172	138.974050	64.060367
210	45.858854	45.858854	135.226197	65.719827	46.304352	46.304352	132.246114	67.002907	45.778071	45.778071	136.350853	65.488493
211	45.652212	45.652212	136.836254	65.128888	46.839093	46.839093	130.487027	68.559396	45.914259	45.914259	134.928855	65.878725
